window,train_start,train_end,test_start,test_end,train_samples,test_samples
0,2020-10-15 00:00:00,2021-10-12 00:00:00,2021-10-13 00:00:00,2021-12-22 00:00:00,250,50
1,2020-12-28 00:00:00,2021-12-22 00:00:00,2021-12-23 00:00:00,2022-03-07 00:00:00,250,50
2,2021-03-11 00:00:00,2022-03-07 00:00:00,2022-03-08 00:00:00,2022-05-17 00:00:00,250,50
3,2021-05-21 00:00:00,2022-05-17 00:00:00,2022-05-18 00:00:00,2022-07-29 00:00:00,250,50
4,2021-08-03 00:00:00,2022-07-29 00:00:00,2022-08-01 00:00:00,2022-10-10 00:00:00,250,50
5,2021-10-13 00:00:00,2022-10-10 00:00:00,2022-10-11 00:00:00,2022-12-20 00:00:00,250,50
6,2021-12-23 00:00:00,2022-12-20 00:00:00,2022-12-21 00:00:00,2023-03-06 00:00:00,250,50
7,2022-03-08 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-05-16 00:00:00,250,50
8,2022-05-18 00:00:00,2023-05-16 00:00:00,2023-05-17 00:00:00,2023-07-28 00:00:00,250,50
9,2022-08-01 00:00:00,2023-07-28 00:00:00,2023-07-31 00:00:00,2023-10-09 00:00:00,250,50
10,2022-10-11 00:00:00,2023-10-09 00:00:00,2023-10-10 00:00:00,2023-12-19 00:00:00,250,50
11,2022-12-21 00:00:00,2023-12-19 00:00:00,2023-12-20 00:00:00,2024-03-04 00:00:00,250,50
12,2023-03-07 00:00:00,2024-03-04 00:00:00,2024-03-05 00:00:00,2024-05-14 00:00:00,250,50
13,2023-05-17 00:00:00,2024-05-14 00:00:00,2024-05-15 00:00:00,2024-07-26 00:00:00,250,50
14,2023-07-31 00:00:00,2024-07-26 00:00:00,2024-07-29 00:00:00,2024-10-07 00:00:00,250,50
15,2023-10-10 00:00:00,2024-10-07 00:00:00,2024-10-08 00:00:00,2024-12-17 00:00:00,250,50
